Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
NVAX,Novavax, 6.81,-0.24,-3.40%,9.381M,9.155M,687.156M,
BYND,Beyond Meat, 9.86,-0.39,-3.80%,1.806M,2.614M,634.844M,
TIVC,Tivic Health Systems, 2.15,0,0.00%,56498,937461,3.152M,
SAVA,Cassava Sciences, 17.68,-0.81,-4.38%,527189,945865,742.03M,
UPST,Upstart Holdings, 27.09,-0.75,-2.69%,5.476M,9.688M,2.273B,
CVNA,Carvana Co.,42.9,-0.81,-1.85%,7.277M,19.657M,7.619B,
AI,C3.ai, 25.65,-0.75,-2.84%,7.642M,16.397M,3.032B,
LOVE,The Lovesac Company,19.81,-1.17,-5.58%,510978,314282,301.449M,15.01
MARA,Marathon Digital Holdings, 9.16,-0.13,-1.40%,16.567M,34.808M,1.601B,
CUTR,Cutera, 7.89,-0.41,-4.94%,646009,744695,157.357M,
FATE,Fate Therapeutics, 2.19,-0.06,-2.67%,2.463M,2.336M,215.852M,
STEM,Stem, 4.42,-0.31,-6.55%,3.306M,4.475M,688.645M,
SLG,SL Green Realty Corp.,37.44,-4.03,-9.72%,4.25M,2.266M,2.422B,
BIG,Big Lots, 5.04,-0.17,-3.26%,1.441M,1.778M,147.141M,
EOSE,Eos Energy Enterprises, 2.24,0.1,+4.67%,11.229M,10.615M,300.149M,
NOVA,Sunnova Energy International 10.83,-0.85,-7.28%,5.184M,4.27M,1.428B,
DBGI,Digital Brands Group, 9.25,-0.29,-3.04%,13224,211307,5.351M,0.02
BLNK,Blink Charging Co.,3.14,-0.35,-10.03%,3.23M,2.159M,200.933M,
ICPT,Intercept Pharmaceuticals, 10.8,-0.02,-0.18%,492022,919122,451.253M,
TWST,Twist Bioscience Corporation,19.68,-0.52,-2.57%,790823,1.074M,1.13B,
BLUE,bluebird bio, 3.2,0.05,+1.59%,3.36M,4.182M,342.25M,
TRUP,Trupanion, 26.61,-2.98,-10.07%,1.364M,963263,1.101B,
FSR,Fisker 5.98,-0.12,-1.97%,5.383M,8.514M,2.052B,
ENVX,Enovix Corporation,12.31,-0.15,-1.20%,4.919M,6.717M,1.971B,
WIRE,Encore Wire Corporation,174.4,-3.04,-1.71%,258729,248022,2.931B,5.66