"Date";"Periodo";"Valor"
"1999";"Enero";"3,06"
"1999";"Febrero";"3,03"
"1999";"Marzo";"3,05"
"1999";"Abril";"2,76"
"1999";"Mayo";"2,68"
"1999";"Junio";"2,84"
"1999";"Julio";"3,03"
"1999";"Agosto";"3,24"
"1999";"Septiembre";"3,3"
"1999";"Octubre";"3,68"
"1999";"Noviembre";"3,69"
"1999";"Diciembre";"3,83"
"2000";"Enero";"3,95"
"2000";"Febrero";"4,11"
"2000";"Marzo";"4,27"
"2000";"Abril";"4,37"
"2000";"Mayo";"4,85"
"2000";"Junio";"4,97"
"2000";"Julio";"5,11"
"2000";"Agosto";"5,25"
"2000";"Septiembre";"5,22"
"2000";"Octubre";"5,22"
"2000";"Noviembre";"5,19"
"2000";"Diciembre";"4,88"
"2001";"Enero";"4,57"
"2001";"Febrero";"4,59"
"2001";"Marzo";"4,47"
"2001";"Abril";"4,48"
"2001";"Mayo";"4,52"
"2001";"Junio";"4,31"
"2001";"Julio";"4,31"
"2001";"Agosto";"4,11"
"2001";"Septiembre";"3,77"
"2001";"Octubre";"3,37"
"2001";"Noviembre";"3,2"
"2001";"Diciembre";"3,3"
"2002";"Enero";"3,48"
"2002";"Febrero";"3,59"
"2002";"Marzo";"3,82"
"2002";"Abril";"3,86"
"2002";"Mayo";"3,96"
"2002";"Junio";"3,87"
"2002";"Julio";"3,65"
"2002";"Agosto";"3,44"
"2002";"Septiembre";"3,24"
"2002";"Octubre";"3,13"
"2002";"Noviembre";"3,02"
"2002";"Diciembre";"2,87"
"2003";"Enero";"2,71"
"2003";"Febrero";"2,5"
"2003";"Marzo";"2,41"
"2003";"Abril";"2,45"
"2003";"Mayo";"2,25"
"2003";"Junio";"2,01"
"2003";"Julio";"2,08"
"2003";"Agosto";"2,28"
"2003";"Septiembre";"2,26"
"2003";"Octubre";"2,3"
"2003";"Noviembre";"2,41"
"2003";"Diciembre";"2,38"
"2004";"Enero";"2,22"
"2004";"Febrero";"2,16"
"2004";"Marzo";"2,06"
"2004";"Abril";"2,16"
"2004";"Mayo";"2,3"
"2004";"Junio";"2,4"
"2004";"Julio";"2,36"
"2004";"Agosto";"2,3"
"2004";"Septiembre";"2,38"
"2004";"Octubre";"2,32"
"2004";"Noviembre";"2,33"
"2004";"Diciembre";"2,3"
"2005";"Enero";"2,31"
"2005";"Febrero";"2,31"
"2005";"Marzo";"2,34"
"2005";"Abril";"2,27"
"2005";"Mayo";"2,19"
"2005";"Junio";"2,1"
"2005";"Julio";"2,17"
"2005";"Agosto";"2,22"
"2005";"Septiembre";"2,22"
"2005";"Octubre";"2,41"
"2005";"Noviembre";"2,68"
"2005";"Diciembre";"2,78"
"2006";"Enero";"2,83"
"2006";"Febrero";"2,91"
"2006";"Marzo";"3,11"
"2006";"Abril";"3,22"
"2006";"Mayo";"3,31"
"2006";"Junio";"3,4"
"2006";"Julio";"3,54"
"2006";"Agosto";"3,62"
"2006";"Septiembre";"3,72"
"2006";"Octubre";"3,8"
"2006";"Noviembre";"3,86"
"2006";"Diciembre";"3,92"
"2007";"Enero";"4,06"
"2007";"Febrero";"4,09"
"2007";"Marzo";"4,11"
"2007";"Abril";"4,25"
"2007";"Mayo";"4,37"
"2007";"Junio";"4,51"
"2007";"Julio";"4,56"
"2007";"Agosto";"4,67"
"2007";"Septiembre";"4,72"
"2007";"Octubre";"4,65"
"2007";"Noviembre";"4,61"
"2007";"Diciembre";"4,79"
"2008";"Enero";"4,5"
"2008";"Febrero";"4,35"
"2008";"Marzo";"4,59"
"2008";"Abril";"4,82"
"2008";"Mayo";"4,99"
"2008";"Junio";"5,36"
"2008";"Julio";"5,39"
"2008";"Agosto";"5,32"
"2008";"Septiembre";"5,38"
"2008";"Octubre";"5,25"
"2008";"Noviembre";"4,35"
"2008";"Diciembre";"3,45"
"2009";"Enero";"2,62"
"2009";"Febrero";"2,14"
"2009";"Marzo";"1,91"
"2009";"Abril";"1,77"
"2009";"Mayo";"1,64"
"2009";"Junio";"1,61"
"2009";"Julio";"1,41"
"2009";"Agosto";"1,33"
"2009";"Septiembre";"1,26"
"2009";"Octubre";"1,24"
"2009";"Noviembre";"1,23"
"2009";"Diciembre";"1,24"
"2010";"Enero";"1,23"
"2010";"Febrero";"1,23"
"2010";"Marzo";"1,22"
"2010";"Abril";"1,23"
"2010";"Mayo";"1,25"
"2010";"Junio";"1,28"
"2010";"Julio";"1,37"
"2010";"Agosto";"1,42"
"2010";"Septiembre";"1,42"
"2010";"Octubre";"1,5"
"2010";"Noviembre";"1,54"
"2010";"Diciembre";"1,53"
"2011";"Enero";"1,55"
"2011";"Febrero";"1,71"
"2011";"Marzo";"1,92"
"2011";"Abril";"2,09"
"2011";"Mayo";"2,15"
"2011";"Junio";"2,14"
"2011";"Julio";"2,18"
"2011";"Agosto";"2,1"
"2011";"Septiembre";"2,07"
"2011";"Octubre";"2,11"
"2011";"Noviembre";"2,04"
"2011";"Diciembre";"2"
"2012";"Enero";"1,84"
"2012";"Febrero";"1,68"
"2012";"Marzo";"1,5"
"2012";"Abril";"1,37"
"2012";"Mayo";"1,27"
"2012";"Junio";"1,22"
"2012";"Julio";"1,06"
"2012";"Agosto";"0,88"
"2012";"Septiembre";"0,74"
"2012";"Octubre";"0,65"
"2012";"Noviembre";"0,59"
"2012";"Diciembre";"0,55"
"2013";"Enero";"0,58"
"2013";"Febrero";"0,59"
"2013";"Marzo";"0,55"
"2013";"Abril";"0,53"
"2013";"Mayo";"0,48"
"2013";"Junio";"0,51"
"2013";"Julio";"0,53"
"2013";"Agosto";"0,54"
"2013";"Septiembre";"0,54"
"2013";"Octubre";"0,54"
"2013";"Noviembre";"0,51"
"2013";"Diciembre";"0,54"
"2014";"Enero";"0,56"
"2014";"Febrero";"0,55"
"2014";"Marzo";"0,58"
"2014";"Abril";"0,6"
"2014";"Mayo";"0,59"
"2014";"Junio";"0,51"
"2014";"Julio";"0,49"
"2014";"Agosto";"0,47"
"2014";"Septiembre";"0,36"
"2014";"Octubre";"0,34"
"2014";"Noviembre";"0,34"
"2014";"Diciembre";"0,33"
"2015";"Enero";"0,3"
"2015";"Febrero";"0,26"
"2015";"Marzo";"0,21"
"2015";"Abril";"0,18"
"2015";"Mayo";"0,17"
"2015";"Junio";"0,16"
"2015";"Julio";"0,17"
"2015";"Agosto";"0,16"
"2015";"Septiembre";"0,15"
"2015";"Octubre";"0,13"
"2015";"Noviembre";"0,08"
"2015";"Diciembre";"0,06"
"2016";"Enero";"0,04"
"2016";"Febrero";"-0,01"
"2016";"Marzo";"-0,01"
"2016";"Abril";"-0,01"
"2016";"Mayo";"-0,01"
"2016";"Junio";"-0,03"
"2016";"Julio";"-0,06"
"2016";"Agosto";"-0,05"
"2016";"Septiembre";"-0,06"
"2016";"Octubre";"-0,07"
"2016";"Noviembre";"-0,07"
"2016";"Diciembre";"-0,08"
"2017";"Enero";"-0,1"
"2017";"Febrero";"-0,11"
"2017";"Marzo";"-0,11"
"2017";"Abril";"-0,12"
"2017";"Mayo";"-0,13"
"2017";"Junio";"-0,15"
"2017";"Julio";"-0,15"
"2017";"Agosto";"-0,16"
"2017";"Septiembre";"-0,17"
"2017";"Octubre";"-0,18"
"2017";"Noviembre";"-0,19"
"2017";"Diciembre";"-0,19"
"2018";"Enero";"-0,19"
"2018";"Febrero";"-0,19"
"2018";"Marzo";"-0,19"
"2018";"Abril";"-0,19"
"2018";"Mayo";"-0,19"
"2018";"Junio";"-0,18"
"2018";"Julio";"-0,18"
"2018";"Agosto";"-0,17"
"2018";"Septiembre";"-0,17"
"2018";"Octubre";"-0,15"
"2018";"Noviembre";"-0,15"
"2018";"Diciembre";"-0,13"
"2019";"Enero";"-0,12"
"2019";"Febrero";"-0,11"
"2019";"Marzo";"-0,11"
"2019";"Abril";"-0,11"
"2019";"Mayo";"-0,13"
"2019";"Junio";"-0,19"
"2019";"Julio";"-0,28"
"2019";"Agosto";"-0,36"
"2019";"Septiembre";"-0,34"
"2019";"Octubre";"-0,3"
"2019";"Noviembre";"-0,27"
"2019";"Diciembre";"-0,26"
"2020";"Enero";"-0,25"
"2020";"Febrero";"-0,29"
"2020";"Marzo";"-0,27"
"2020";"Abril";"-0,11"
"2020";"Mayo";"-0,08"
"2020";"Junio";"-0,15"
"2020";"Julio";"-0,28"
"2020";"Agosto";"-0,36"
"2020";"Septiembre";"-0,42"
"2020";"Octubre";"-0,47"
"2020";"Noviembre";"-0,48"
"2020";"Diciembre";"-0,5"
"2021";"Enero";"-0,51"
"2021";"Febrero";"-0,5"
"2021";"Marzo";"-0,49"
"2021";"Abril";"-0,48"
"2021";"Mayo";"-0,48"
"2021";"Junio";"-0,48"
"2021";"Julio";"-0,49"
"2021";"Agosto";"-0,5"
"2021";"Septiembre";"-0,49"
"2021";"Octubre";"-0,48"
"2021";"Noviembre";"-0,49"
"2021";"Diciembre";"-0,5"
"2022";"Enero";"-0,48"
"2022";"Febrero";"-0,34"
"2022";"Marzo";"-0,24"
"2022";"Abril";"0,01"
"2022";"Mayo";"0,29"
"2022";"Junio";"0,85"
"2022";"Julio";"0,99"
"2022";"Agosto";"1,25"
"2022";"Septiembre";"2,23"
"2022";"Octubre";"2,63"
"2022";"Noviembre";"2,83"
"2022";"Diciembre";"3,02"
"2023";"Enero";"3,33"
"2023";"Febrero";"3,52"
;;
;;
"Métrica":"Euribor"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euribor mensual"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-euribor-mensual/41fb76b7-6d49-46f5-b60d-ef95d3b311bc"
"Titulo":"Evolución del Euríbor mensual"
"Subtitulo":""
